legacy_charge_key,legacy_student_id,cycle_code,concept_code,coverage_year,coverage_month,original_amount,due_date,origin,status,legacy_period,legacy_price_id,price_resolution
54a3ac62-0b3d-4d6f-ae14-f7adec420285|ENROLLMENT_FEE|25-26,54a3ac62-0b3d-4d6f-ae14-f7adec420285,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,635c0ed2-a786-4fa5-9ec0-9e3f242a5165,DUE_DATE:EXACT_OR_PRIOR
562676d8-327a-4012-97e1-f0cfefc685b0|ENROLLMENT_FEE|25-26,562676d8-327a-4012-97e1-f0cfefc685b0,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,fa4fb19e-044f-471b-af15-12c1af6ffecc,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
58676041-fe76-4791-9f8b-7bc1dad83cb8|ENROLLMENT_FEE|25-26,58676041-fe76-4791-9f8b-7bc1dad83cb8,25-26,ENROLLMENT_FEE,,,2400.00,2025-10-06,LEGACY_MIGRATION,ACTIVE,INS,93d23a6e-1eca-4e4a-bc39-864d9943a4d0,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
58d1397f-6c2f-4806-874f-04e5ac218830|ENROLLMENT_FEE|25-26,58d1397f-6c2f-4806-874f-04e5ac218830,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,9a342cce-21d9-4148-aa81-001a39e63450,DUE_DATE:EXACT_OR_PRIOR
58f5f801-a774-4b45-8960-aec7b7127187|ENROLLMENT_FEE|25-26,58f5f801-a774-4b45-8960-aec7b7127187,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,ed08d1e3-4963-43fb-95d6-1d54db3b072b,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
5af22e45-f9f7-4577-b07b-7ce4a7940329|ENROLLMENT_FEE|25-26,5af22e45-f9f7-4577-b07b-7ce4a7940329,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-19,LEGACY_MIGRATION,ACTIVE,INS,28c62c51-2658-43e3-b8fc-b4d00fecb16d,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
5b6f10bf-24ec-4e49-8839-dbf02ee4cd75|ENROLLMENT_FEE|25-26,5b6f10bf-24ec-4e49-8839-dbf02ee4cd75,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-26,LEGACY_MIGRATION,ACTIVE,INS,505d64b5-1f13-4d97-83fd-c16e02548d47,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
5cb7777e-5664-4929-b875-cddff5a7c18c|ENROLLMENT_FEE|25-26,5cb7777e-5664-4929-b875-cddff5a7c18c,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,f067c448-7dfa-4464-9d39-9c121b37611a,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
61565b9f-a82a-49cf-aa9f-3e7df8d7889c|ENROLLMENT_FEE|25-26,61565b9f-a82a-49cf-aa9f-3e7df8d7889c,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,566b9cb8-9eb0-4351-aa1c-090453f7208f,DUE_DATE:EXACT_OR_PRIOR
61ed3b0d-3542-46bc-a02d-4f73b36cffd3|ENROLLMENT_FEE|25-26,61ed3b0d-3542-46bc-a02d-4f73b36cffd3,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,f5ab2f57-c27d-40ef-91a2-898b90f809d4,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
64b7b8c4-c418-4b27-8aa7-31c44d2850f4|ENROLLMENT_FEE|25-26,64b7b8c4-c418-4b27-8aa7-31c44d2850f4,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-18,LEGACY_MIGRATION,ACTIVE,INS,5fdbde3f-de5d-4e98-9637-868d32ab12a3,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb|ENROLLMENT_FEE|25-26,6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,0e63ec89-ab56-4789-8a3f-10072988d11c,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
69450844-df68-4eb9-a465-967c31417074|ENROLLMENT_FEE|25-26,69450844-df68-4eb9-a465-967c31417074,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,10a06f3e-dcd5-41ca-9943-f5a84959ab61,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
6a9b25d0-e6e4-4cf2-94ef-4ba0a59c5b2d|ENROLLMENT_FEE|25-26,6a9b25d0-e6e4-4cf2-94ef-4ba0a59c5b2d,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,6a38b99e-df68-40f9-89a6-3c7fc8069f34,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
6d484f92-07ed-4ef5-acde-ed43c7314527|ENROLLMENT_FEE|25-26,6d484f92-07ed-4ef5-acde-ed43c7314527,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-15,LEGACY_MIGRATION,ACTIVE,INS,c8dfc9e2-0ad9-4d03-a028-a9887b3fa26e,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
6f2f8410-2704-4938-8538-21edb5b8221a|ENROLLMENT_FEE|25-26,6f2f8410-2704-4938-8538-21edb5b8221a,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,2cc59039-2c1d-4f38-957a-e31b41af37b8,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
7392fe19-c6bd-489a-9cf5-3f6861139603|ENROLLMENT_FEE|25-26,7392fe19-c6bd-489a-9cf5-3f6861139603,25-26,ENROLLMENT_FEE,,,1000.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,,VERIFIED_HISTORICAL_OVERRIDE
7babc8a8-10d3-41e2-bb40-868a18dc2300|ENROLLMENT_FEE|25-26,7babc8a8-10d3-41e2-bb40-868a18dc2300,25-26,ENROLLMENT_FEE,,,2500.00,2025-10-03,LEGACY_MIGRATION,ACTIVE,INS,b0fae4f9-77b6-4aeb-aaab-5b326995bd9a,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a|ENROLLMENT_FEE|25-26,81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,2899d873-77b7-44c9-a8e2-701e8e3aa018,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
83744ef9-a5f4-4c6a-9c81-a6ea4f9507cf|ENROLLMENT_FEE|25-26,83744ef9-a5f4-4c6a-9c81-a6ea4f9507cf,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,559f8a32-398e-45ff-a07d-636eaf000ce8,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
