legacy_agreement_key,legacy_student_id,concept_code,legacy_price_id,base_amount_snapshot,benefit_type_snapshot,benefit_value_snapshot,agreed_amount,valid_from,valid_until,reason,source
2645afb7-c140-490c-b8db-c0dd4fbf6e11|TUITION|2025-09-01,2645afb7-c140-490c-b8db-c0dd4fbf6e11,TUITION,1a15b055-350a-4f93-9dd1-50c238cf04d3,1500.00,,,1500.00,2025-09-01,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
f425a981-e85a-4cb0-95a0-1de810c18a53|TUITION|2025-09-02,f425a981-e85a-4cb0-95a0-1de810c18a53,TUITION,1ae474a6-5637-4f41-8dc6-bec3e89878db,1500.00,FIXED_AMOUNT,500.00,1000.00,2025-09-02,,Descuento Fran,LEGACY_PRICE_HISTORY
afa0658f-b7b9-4fb1-997b-0e0fcf93b4e1|ENROLLMENT_FEE|2025-09-01,afa0658f-b7b9-4fb1-997b-0e0fcf93b4e1,ENROLLMENT_FEE,409fa25b-b853-4509-a0e6-c89cd0ceba94,2500.00,,,2500.00,2025-09-01,2025-09-01,,LEGACY_PRICE_HISTORY
afa0658f-b7b9-4fb1-997b-0e0fcf93b4e1|ENROLLMENT_FEE|2025-09-02,afa0658f-b7b9-4fb1-997b-0e0fcf93b4e1,ENROLLMENT_FEE,1dc55f09-1dd7-409b-a877-15e5864ce36e,1100.00,,,1100.00,2025-09-02,,Periodo Preinscripciones,LEGACY_PRICE_HISTORY
8d1da005-457e-4b91-b44a-605b0ca3c47a|ENROLLMENT_FEE|2025-09-01,8d1da005-457e-4b91-b44a-605b0ca3c47a,ENROLLMENT_FEE,1df4cb7f-ff8d-45b8-ba3b-9e937bfbd5c1,2400.00,,,2400.00,2025-09-01,,,LEGACY_PRICE_HISTORY
eb5427dd-f41c-4408-8815-26493a90c351|ENROLLMENT_FEE|2025-09-01,eb5427dd-f41c-4408-8815-26493a90c351,ENROLLMENT_FEE,20323dcd-7ea2-4f0c-a7f6-bd913cf62e89,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
8568473f-3a83-4adb-8aed-358e4481b99c|TUITION|2025-09-01,8568473f-3a83-4adb-8aed-358e4481b99c,TUITION,21bc96b3-44b0-422e-8d6c-792b54c6026d,1500.00,FIXED_AMOUNT,1500.00,0.00,2025-09-01,,No paga es  familiar,LEGACY_PRICE_HISTORY
d81e498e-7690-4676-9957-8b832ccf8ea0|TUITION|2025-09-02,d81e498e-7690-4676-9957-8b832ccf8ea0,TUITION,23415d8a-b1f5-4d0c-adae-45fcbca1c35d,1600.00,FIXED_AMOUNT,400.00,1200.00,2025-09-02,,beca hermanos,LEGACY_PRICE_HISTORY
0baa1c8c-b4cb-4c7c-b909-3af50436661e|TUITION|2025-09-01,0baa1c8c-b4cb-4c7c-b909-3af50436661e,TUITION,24c77efe-9185-4493-9321-b2c7259564d4,1500.00,FIXED_AMOUNT,1500.00,0.00,2025-09-01,2025-09-01,,LEGACY_PRICE_HISTORY
0baa1c8c-b4cb-4c7c-b909-3af50436661e|TUITION|2025-09-02,0baa1c8c-b4cb-4c7c-b909-3af50436661e,TUITION,842ca7ba-ca13-47fb-a37a-888c58d9f8f8,1500.00,FIXED_AMOUNT,1500.00,0.00,2025-09-02,,,LEGACY_PRICE_HISTORY
562676d8-327a-4012-97e1-f0cfefc685b0|TUITION|2025-09-01,562676d8-327a-4012-97e1-f0cfefc685b0,TUITION,24d2fd6d-4e96-4d28-a360-a9567979daef,1600.00,FIXED_AMOUNT,100.00,1500.00,2025-09-01,,beca fran,LEGACY_PRICE_HISTORY
07d3c06f-1b7d-4925-b8d6-cfb887acabb6|ENROLLMENT_FEE|2025-09-01,07d3c06f-1b7d-4925-b8d6-cfb887acabb6,ENROLLMENT_FEE,25306865-46a0-44b4-a6a9-5d85b1536d17,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554|ENROLLMENT_FEE|2025-09-01,c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554,ENROLLMENT_FEE,25d33bae-08e8-47b5-ada8-694fdd838d22,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb|TUITION|2025-09-02,6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb,TUITION,26c4633a-e251-41b7-8cc9-13937710f2bd,1600.00,,,1600.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
