legacy_id,legacy_student_id,legacy_cycle_id,cycle_code,education_level_code,grade_sort_order,classification_code,status,enrolled_on,classes_start_on,closed_on,academic_participation_override
25-26:8d1da005-457e-4b91-b44a-605b0ca3c47a,8d1da005-457e-4b91-b44a-605b0ca3c47a,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:8f7b36f8-3e15-40c5-bdda-da05aead70c2,8f7b36f8-3e15-40c5-bdda-da05aead70c2,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,6,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:95149f3e-bf90-4279-8471-a562bd517960,95149f3e-bf90-4279-8471-a562bd517960,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:9722dc2c-e45a-49f8-84e5-b1591c35e7c2,9722dc2c-e45a-49f8-84e5-b1591c35e7c2,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:99237104-4f6b-415e-88b1-7241d4cbfda3,99237104-4f6b-415e-88b1-7241d4cbfda3,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:9ace76f4-cf42-4715-ba18-951ec5af9103,9ace76f4-cf42-4715-ba18-951ec5af9103,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,1,CAMPUS,ACTIVA,2025-09-01,2025-09-01,,
25-26:a289cbad-dbdb-4e9c-8afd-aeef6bbd7fcb,a289cbad-dbdb-4e9c-8afd-aeef6bbd7fcb,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:a4c9cada-bb7c-4116-8091-8b3e944aba30,a4c9cada-bb7c-4116-8091-8b3e944aba30,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:a6b37970-a2fa-4a7b-8b11-d3e5151b40b3,a6b37970-a2fa-4a7b-8b11-d3e5151b40b3,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:a71be5b5-f484-434a-912c-d679234166b5,a71be5b5-f484-434a-912c-d679234166b5,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
